title,summary,alternative_names
Toxins,"Toxins are substances created by plants and animals that are poisonous (toxic) to humans. Toxins may also include some medicines that are helpful in small doses, but poisonous in large amounts.Most toxins that cause problems in humans come from germs such as bacteria. For example, the symptoms of cholera are caused by a toxin made by cholera bacteria.Other toxins that may cause problems include metals, such as lead, and certain chemicals in the environment.",
Toxoplasma blood test,The toxoplasma blood test looks for antibodies in the blood to a parasite called Toxoplasma gondii.,Toxoplasma serology; Toxoplasma antibody titer
Toxoplasmosis,Toxoplasmosis is an infection due to the parasite Toxoplasma gondii.,
Tracheal rupture,"A tracheal or bronchial rupture is a tear or break in the windpipe (trachea) or bronchial tubes, the major airways leading to the lungs. A tear can also occur in the tissue lining the windpipe.",Torn tracheal mucosa; Bronchial rupture
Tracheitis,Tracheitis is a bacterial infection of the windpipe (trachea).,Bacterial tracheitis; Acute bacterial tracheitis
Tracheoesophageal fistula and esophageal atresia repair,Tracheoesophageal fistula and esophageal atresia repair is surgery to repair two birth defects in the esophagus and trachea. The defects usually occur together.,TEF repair; Esophageal atresia repair
Tracheomalacia - acquired,"Acquired tracheomalacia is a weakness and floppiness of the walls of the windpipe (trachea, or airway). It develops after birth.Congenital tracheomalacia is a related topic.",Secondary tracheomalacia
Tracheomalacia - congenital,Congenital tracheomalacia is weakness and floppiness of the walls of the windpipe (trachea). Congenital means it is present at birth. Acquired tracheomalacia is a related topic.,Type 1 tracheomalacia
Tracheostomy,A tracheostomy is a surgical procedure to create an opening through the neck into the trachea (windpipe). A tube is most often placed through this opening to provide an airway and to remove secretions from the lungs. This tube is called a tracheostomy tube or trach tube.,
Tracheostomy care,"A tracheostomy is surgery to create a hole in your neck that goes into your windpipe. If you need it for just a short time, it will be closed later. Some people need the hole for the rest of their life.The hole is needed when your airway is blocked, or for some conditions that make it hard for you to breathe. You may need a tracheostomy if you are on a breathing machine (ventilator) for a long time; a breathing tube from your mouth is too uncomfortable for a long-term solution. The tracheostomy provides a way for your health care providers to gradually remove the ventilator if possible.After the hole is made, a plastic tube is placed in the hole to keep it open. A ribbon is tied around the neck to keep the tube in place.",Respiratory failure - tracheostomy care; Ventilator - tracheostomy care; Respiratory insufficiency - tracheostomy care
Tracheostomy tube - eating,"Most people with a tracheostomy tube will be able to eat normally. However, it may feel different when you swallow foods or liquids.",Trach - eating
Tracheostomy tube - speaking,"Speaking is a key part of communicating with people. Having a tracheostomy tube can change your ability to talk and interact with others.However, you can learn how to speak with a tracheostomy tube. It just takes practice. There are even speaking devices that can help you.",Trach - speaking
Trachoma,Trachoma is an infection of the eye caused by bacteria called chlamydia.,Granular conjunctivitis; Egyptian ophthalmia; Conjunctivitis - granular; Conjunctivitis - chlamydia
Traction,"Traction means pulling on part of the body.Most often, traction uses devices such as weights and pulleys to put tension on a displaced bone or joint, such as a dislocated shoulder. The tension helps put the joint back in position and keep it still.Traction is also used to keep a group of muscles (such as the neck muscles) stretched to reduce muscle spasms. This is called cervical traction.",
Transcatheter aortic valve replacement,"Transcatheter aortic valve replacement (TAVR) is a procedure used to replace the aortic valve without opening the chest. It is used to treat adults who aren't healthy enough for regular valve surgery.The aorta is a large artery that carries blood from your heart to the rest of your body. Blood flows out of your heart and into the aorta through a valve. This valve is called the aortic valve. It opens up so blood can flow out. It then closes, keeping blood from flowing backwards. An aortic valve that does not open fully will restrict blood flow. This is called aortic stenosis. If there is also a leak, it is called aortic regurgitation. Most aortic valves are replaced because they restrict flow forward through the aorta to the brain and body.",Valvuloplasty - aortic; TAVR; Transcatheter aortic valve implantation (TAVI)
Transcranial Doppler ultrasound,Transcranial doppler ultrasound (TCD) is a diagnostic test. It measures blood flow to and within the brain.,Transcranial Doppler ultrasonography; TCD ultrasonography; TCD; Transcranial Doppler study
Transient familial hyperbilirubinemia,Transient familial hyperbilirubinemia is a metabolic disorder that is passed down through families. Babies with this disorder are born with severe jaundice.,Lucey-Driscoll syndrome
Transient ischemic attack,"A transient ischemic attack (TIA) occurs when blood flow to a part of the brain stops for a brief time. A person will have stroke-like symptoms for up to 24 hours. In most cases, the symptoms last for 1 to 2 hours.A transient ischemic attack is a warning sign that a true stroke may happen in the future (often near future) if something is not done to prevent it.",Mini stroke; TIA; Little stroke; Cerebrovascular disease - TIA; Carotid artery - TIA
Transient tachypnea - newborn,"Transient tachypnea of the newborn (TTN) is a breathing disorder seen shortly after delivery, most often in early term or late preterm babies.Transient means it is short-lived (most often less than 48 hours).Tachypnea means rapid breathing (faster than most newborns, who normally breathe 40 to 60 times per minute).",TTN; Wet lungs - newborns; Retained fetal lung fluid; Transient RDS; Prolonged transition; Neonatal - transient tachypnea
Transillumination,Transillumination is the shining of a light through a body area or organ to check for abnormalities.,
Transjugular intrahepatic portosystemic shunt (TIPS),Transjugular intrahepatic portosystemic shunt (TIPS) is a procedure to create new connections between two blood vessels in your liver. You may need this procedure if you have severe liver problems.,TIPS; Cirrhosis - TIPS; Liver failure - TIPS
Translocation,"Translocation means a change in location. It often refers to genetics, when part of a chromosome is transferred to another chromosome. Chromosomes are structures that carry genes, our units of heredity. When a translocation occurs, it can cause flaws in chromosomes. In another type of translocation, two chromosomes trade pieces with each other.Genetic translocations can cause serious disorders, including a type of leukemia.",
Transplant rejection,Transplant rejection is a process in which a transplant recipient's immune system attacks the transplanted organ or tissue.,Graft rejection; Tissue/organ rejection
Transplant services,"Transplantation is a procedure that is done to replace one of your organs with a healthy one from another person. The surgery is only one part of a complex, long-term process.Several experts will help you prepare for the procedure, and make sure you are comfortable before, during, and after surgery.",
Transposition of the great arteries,Transposition of the great arteries (TGA) is a heart defect that occurs from birth (congenital). The two major arteries that carry blood away from the heart -- the aorta and the pulmonary artery -- are switched (transposed).,d-TGA; Congenital heart defect - transposition; Cyanotic heart disease - transposition; Birth defect - transposition; Transposition of the great vessels; TGV
Transurethral resection of the prostate,Transurethral resection of the prostate (TURP) is a surgery to remove the inside part of the prostate gland. It is done in order to treat symptoms of an enlarged prostate.,TURP; Prostate resection - transurethral
Transurethral resection of the prostate - discharge,You had transurethral resection of the prostate (TURP) surgery to treat an enlarged prostate. This article tells you how to take care of yourself at home after the procedure.,TURP - discharge; Prostate resection - transurethral - discharge
Transvaginal ultrasound,"Transvaginal ultrasound is a test used to look at a woman's uterus, ovaries, tubes, cervix, and pelvic area.Transvaginal means across or through the vagina. The ultrasound probe will be placed inside the vagina during the test.",Endovaginal ultrasound; Ultrasound - transvaginal; Fibroids - transvaginal ultrasound; Vaginal bleeding - transvaginal ultrasound; Uterine bleeding - transvaginal ultrasound; Menstrual bleeding - transvaginal ultrasound; Infertility - transvaginal ultrasound; Ovarian - transvaginal ultrasound; Abscess - transvaginal ultrasound
Transverse myelitis,"Transverse myelitis is a condition caused by inflammation of the spinal cord. As a result, the covering (myelin sheath) around the nerve cells is damaged. This disturbs the signals between spinal nerves and rest of the body. Transverse myelitis can cause pain, muscle weakness, paralysis, and bladder or bowel problems.",TM; Acute transverse myelitis; Secondary transverse myelitis; Idiopathic transverse myelitis
Traumatic amputation,"Traumatic amputation is the loss of a body part, usually a finger, toe, arm, or leg, that occurs as the result of an accident or injury.",Loss of a body part
Traumatic brain injury,"A traumatic brain injury (TBI) can occur when the head hits an object, or a moving object strikes the head. There are three types of TBI:Mild TBI, also called a concussionModerate TBISevere TBIA TBI can affect how the brain works. The degree of impaired brain function and other symptoms and how long they will last depends on how severe the TBI is. A TBI may lead to headaches, changes in alertness, loss of consciousness, memory loss, and changes in thinking. Moderate to severe TBIs can cause life-long health problems.",Concussion; Brain injury - concussion; Traumatic brain injury - concussion; Closed head injury - concussion
Traumatic events and children,One in four children experiences a traumatic event by the time they are 18 years old. Traumatic events can be life threatening and are bigger than what your child should ever have to experience.Learn what to watch for in your child and how to take care of your child after a traumatic event. Get professional help if your child is not recovering.,Stress - traumatic events in children
Traumatic injury of the bladder and urethra,Traumatic injury of the bladder and urethra involves damage caused by an outside force.,Injury - bladder and urethra; Bruised bladder; Urethral injury; Bladder injury; Pelvic fracture; Urethral disruption; Bladder perforation
Traveler's diarrhea diet,"Traveler's diarrhea causes loose, watery stools. People can get traveler's diarrhea when they visit places where the water is not clean or the food is not handled safely. This can include developing countries in Latin America, Africa, the Middle East, and Asia.This article tells you what you should eat or drink if you have traveler's diarrhea.",Diet - traveler's diarrhea; Diarrhea - traveler's - diet; Gastroenteritis - traveler's
Traveler's guide to avoiding infectious diseases,"You can stay healthy during travel by taking the right steps to protect yourself before you go. You can also do things to help prevent disease while you are traveling. Most infections you catch while traveling are minor. In rare cases, however, they can be severe, or even deadly.Diseases vary in different places in the world. You will need to take different preventive steps, depending on where you are going. The following things should be considered:Insects and parasitesLocal climateSanitationThe best public sources for up-to-date travel information are the:Centers for Disease Control and Prevention (CDC) -- www.cdc.gov/travelWorld Health Organization (WHO) -- www.who.int/health-topics/travel-and-health#tab=tab_1BEFORE TRAVELTalk to your health care provider or visit a travel clinic 4 to 6 weeks before you leave for your trip. You may need several vaccinations. Some of these need time to work.You also may need to update your vaccinations. For example, you may need ""booster"" vaccines for:COVID-19Diphtheria, tetanus, and pertussis (Tdap)Influenza (flu)Measles - mumps - rubella (MMR)PolioYou also may need vaccines for diseases that are not commonly found in North America. Examples of recommended vaccines include:Hepatitis AHepatitis BMeningococcalTyphoidCertain countries have required vaccinations. You may need proof that you have had this vaccine in order to enter the country.Yellow fever vaccination is required to enter certain Sub-Saharan, Central African, and South American countries.Meningococcal vaccination is required to enter Saudi Arabia for the Hajj pilgrimage.For a complete list of country requirements, check the CDC or WHO websites.People who may have different vaccine requirements include:ChildrenOlder people People with weakened immune systems or HIVPeople who expect to be in contact with certain animalsWomen who are pregnant or breastfeedingCheck with your provider or local travel clinic.PREVENTING MALARIAMalaria is a serious disease that spreads by the bite of certain mosquitoes, typically biting between dusk and dawn. It occurs mainly in tropical and subtropical climates. Malaria can cause high fevers, shaking chills, flu-like symptoms, and anemia. There are 4 types of malaria parasites.If you are traveling to an area where malaria is common, you may need to take medicines that prevent the disease. These medicines are taken before you leave, during your travel, and for a short period after you return. How well the medicines work varies. Some strains of malaria are resistant to some preventive medicines. You should also take steps to prevent insect bites.ZIKA VIRUSZika is a virus passed to humans by the bite of infected mosquitoes. Symptoms include fever, joint pain, rash, and red eyes (conjunctivitis). The mosquitoes that spread Zika are the same type that spread dengue fever and chikungunya virus. These mosquitoes usually feed during the day. No vaccine exists for preventing Zika.There is believed to be a link between mothers with Zika infection and babies born with microcephaly and other birth defects. Zika can spread from a mother to her baby in the uterus (in utero) or at the time of birth. A man with Zika can spread the disease to his sex partners. There have been reports of Zika spreading through blood transfusion.Before 2015, the virus was found mainly in Africa, Southeast Asia, and the Pacific Islands. It has now spread to many states and countries including:BrazilCaribbean IslandsCentral AmericaMexicoNorth AmericaSouth AmericaPuerto RicoThe disease has been found in certain regions of the United States. For the most up-to-date information, please visit the Centers for Disease Control and Prevention's (CDC) website -- www.cdc.gov/zika.To prevent getting the Zika virus, take steps to avoid mosquito bites. Sexual transmission of the virus can be prevented by using condoms or not having sex with a person who is possibly infected.PREVENTING INSECT BITESTo prevent against bites from mosquitoes and other insects:Wear insect repellent when you are outdoors, but use it safely. Conventional repellents include DEET and picaridin. Some biopesticide repellents are oil of lemon eucalyptus (OLE), PMD, and IR3535.You may also need to use a bed mosquito net while you sleep.Wear trousers and long-sleeved shirts, particularly at dusk.Sleep only in screened areas.Do not wear perfumes.FOOD AND WATER SAFETYYou can get some types of infections by eating or drinking contaminated food or water. There is a high risk of infection from eating undercooked or raw foods.Stay away from the following foods:Cooked food that has been allowed to cool (such as from street vendors)Fruit that has not been washed with clean water and then peeledRaw vegetablesSaladsUnpasteurized dairy foods, such as milk or cheeseDrinking untreated or contaminated water can lead to infection. Only drink the following liquids:Canned or unopened bottled beverages (water, juice, carbonated mineral water, soft drinks)Drinks made with boiled water, such as tea and coffeeDo not use ice in your drinks unless it is made from purified water. You can purify water by boiling it or by treating it with certain chemical kits or water filters.OTHER STEPS TO PREVENT INFECTIOUS DISEASESClean your hands often. Use soap and water or an alcohol-based cleanser to help prevent infection.Do not stand or swim in fresh-water rivers, streams, or lakes that have sewage or animal feces in them. This can lead to infection. Swimming in chlorinated pools is safe most of the time.WHEN TO CONTACT A MEDICAL PROFESSIONALDiarrhea can sometimes be treated with rest and fluids. Your provider may give you an antibiotic to take on your trip in case you get sick with severe diarrhea while traveling.Get medical care right away if:Diarrhea does not go awayYou develop a high fever or become dehydratedContact your provider when you return home if you were sick with a fever while traveling.",
Traveling with breathing problems,"If you have breathing problems such as asthma or chronic obstructive pulmonary disease (COPD), you can travel safely if you take a few precautions.",Oxygen - travel; Collapsed lung - travel; Chest surgery - travel; COPD - travel; Chronic obstructive airways disease - travel; Chronic obstructive lung disease - travel; Chronic bronchitis - travel; Emphysema - travel
Traveling with children,"Traveling with children presents special challenges. It disrupts familiar routines and imposes new demands. Planning ahead, and involving children in the planning, may lessen the stress of travel.",Ear pain - flying; Ear pain - airplane
Trazodone overdose,"Trazodone is an antidepressant medicine. Sometimes, it is used as a sleep aid and to treat agitation in people with dementia. Trazodone overdose occurs when someone takes more than the normal or recommended amount of this medicine, either by accident or on purpose.This article is for information only. DO NOT use it to treat or manage an actual overdose. If you or someone you are with overdoses, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Trazadone hydrochloride
Treacher Collins syndrome,Treacher Collins syndrome is a genetic condition that leads to problems with the structure of the face. Most cases are not passed down through families.,Mandibulofacial dysostosis; Treacher Collins-Franceschetti syndrome
Treatment for childhood cancer - long-term risks,"Today's cancer treatments help cure most children with cancer. These treatments also may cause health problems later on. These are called ""late effects.""Late effects are treatment side effects that appear several months or years after treatment for cancer. Late effects can impact one or more areas of the body. Effects can be mild to severe.Whether your child will have late effects depends on the type of cancer and the treatments your child has. Being aware of your child's risk of long-term health problems can help you follow-up with health care providers and detect any problems early.",Childhood cancer - late effects
Tremor,"A tremor is a type of shaking movement. A tremor is most often noticed in the hands and arms. It may affect any body part, including the head, tongue, or vocal cords.",Shaking; Tremor - hand; Hand tremor; Tremor - arms; Kinetic tremor; Intention tremor; Postural tremor; Essential tremor
Tremor - self-care,"A tremor is a type of shaking in your body. Most tremors are in the hands and arms. However, they may affect any body part, even your head or voice.",Shaking - self-care; Essential tremor - self-care; Familial tremor - self-care
Trench mouth,"Trench mouth is an infection that causes swelling (inflammation) and ulcers in the gums (gingivae). The term trench mouth comes from World War I, when this infection was common among soldiers ""in the trenches.""",Vincent's stomatitis; Acute necrotizing ulcerative gingivitis (ANUG); Vincent disease
Trichinosis,Trichinosis is an infection with the roundworm Trichinella spiralis.,Parasite infection - trichinosis; Trichiniasis; Trichinellosis; Roundworm - trichinosis
Trichomoniasis,Trichomoniasis is a sexually transmitted infection caused by the parasite Trichomonas vaginalis.,Trichomonas vaginitis; STD - trichomonas vaginitis; STI - trichomonas vaginitis; Sexually transmitted infection - trichomonas vaginitis; Cervicitis - trichomonas vaginitis
Trichorrhexis nodosa,Trichorrhexis nodosa is a common hair problem in which thickened or weak points (nodes) along the hair shaft cause your hair to break off easily.,Hair shaft fracture; Brittle hair; Fragile hair; Hair breakage
Trichotillomania,"Trichotillomania is hair loss from repeated urges to pull or twist the hair until it breaks off. People are unable to stop this behavior, even as their hair becomes thinner.",Trichotillosis; Compulsive hair pulling
Tricuspid atresia,"Tricuspid atresia is a type of heart disease that is present at birth (congenital heart disease), in which the tricuspid heart valve is missing or abnormally developed. The defect blocks blood flow from the right atrium to the right ventricle. Other heart or vessel defects are usually present at the same time.",Tri atresia; Valve disorder - tricuspid atresia; Congenital heart - tricuspid atresia; Cyanotic heart disease - tricuspid atresia
Tricuspid regurgitation,"Blood that flows between different chambers of your heart must pass through a heart valve. These valves open up enough so that blood can flow through. They then close, keeping blood from flowing backward.The tricuspid valve separates the right lower heart chamber (the right ventricle) from the right upper heart chamber (right atrium).Tricuspid regurgitation is a disorder in which this valve does not close tight enough. This problem causes blood to flow backward into the right atrium when the right ventricle contracts.",Tricuspid insufficiency; Heart valve - tricuspid regurgitation; Valvular disease - tricuspid regurgitation
Trigeminal neuralgia,Trigeminal neuralgia (TN) is a nerve disorder. It causes a stabbing or electric shock-like pain in parts of the face.,Tic douloureux; Cranial neuralgia; Facial pain - trigeminal; Facial neuralgia; Trifacial neuralgia; Chronic pain - trigeminal; Microvascular decompression - trigeminal
Trigger finger,"Trigger finger occurs when a finger or thumb gets stuck in a bent position, as if you were squeezing a trigger. Once it gets unstuck, the finger pops straight out, like a trigger being released.In severe cases, the finger cannot be straightened. Surgery is needed to correct it.",Digital stenosing tenosynovitis; Trigger digit; Trigger finger release; Locked finger; Digital flexor tenosynovitis
Triglyceride level,The triglyceride level is a blood test to measure the amount of triglycerides in your blood. Triglycerides are a type of fat.Your body makes some triglycerides. Triglycerides also come from the food you eat. Extra calories are turned into triglycerides and stored in fat cells for later use.A test for high blood cholesterol levels is a related measurement and usually done at the same time.,Triacylglycerol test
Trisodium phosphate poisoning,"Trisodium phosphate is a strong chemical. Poisoning occurs if you swallow, breathe in, or spill large amounts of this substance on your skin.This article is for information only. DO NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call the local emergency number (such as 911), or the local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Sodium orthophosphate poisoning; Trisodium orthophosphate poisoning; TSP poisoning
Trisomy 13,"Trisomy 13 (also called Patau syndrome) is a genetic disorder in which a person has 3 copies of genetic material from chromosome 13, instead of the usual 2 copies. Rarely, the extra material may be attached to another chromosome (translocation).",Patau syndrome
Trisomy 18,"Trisomy 18 is a genetic disorder in which a person has a third copy of material from chromosome 18, instead of the usual 2 copies. Rarely, the extra material may be attached to another chromosome (translocation). Most cases are not passed down through families. Instead, the problems that lead to this condition occur in either the sperm or the egg that forms the fetus.",Edwards syndrome
Tropical sprue,"Tropical sprue is a condition that occurs in people who live in or visit tropical areas for extended periods of time. It impairs nutrients from being absorbed from the intestines.Tropical sprue (TS) is a syndrome characterized by acute or chronic diarrhea, weight loss, and malabsorption of nutrients.",
Troponin test,"A troponin test measures the levels of troponin T or troponin I proteins in the blood. These proteins are released when the heart muscle has been damaged, such as occurs with a heart attack. The more damage there is to the heart, the greater the amount of troponin T and I there will be in the blood.",TroponinI; TnI; TroponinT; TnT; Cardiac-specific troponin I; Cardiac-specific troponin T; cTnl; cTnT
Truncus arteriosus,"Truncus arteriosus is a rare type of heart disease in which a single blood vessel (truncus arteriosus) comes out of the right and left ventricles, instead of the normal 2 vessels (pulmonary artery and aorta). It is present at birth (congenital heart disease).There are different types of truncus arteriosus.",Truncus
Trypsin and chymotrypsin in stool,"Trypsin and chymotrypsin are substances released from the pancreas during normal digestion. When the pancreas does not produce enough trypsin and chymotrypsin, smaller-than-normal amounts can be seen in a stool sample.This article discusses the test to measure trypsin and chymotrypsin in stool.",Stool - trypsin and chymotrypsin
Trypsinogen test,Trypsinogen is a substance that is normally produced in the pancreas and released into the small intestine. Trypsinogen is converted to trypsin. Then it starts the process needed to break down proteins into their building blocks (called amino acids).A test can be done to measure the amount of trypsinogen in your blood.,Serum trypsin; Trypsin-like immunoreactivity; Serum trypsinogen; Immunoreactive trypsin
Tryptophan,"Tryptophan is an amino acid needed for normal growth in infants and for the production and maintenance of the body's proteins, muscles, enzymes, and neurotransmitters. It is an essential amino acid. This means your body cannot produce it, so you must get it from your diet.",
TSH test,A TSH test measures the amount of thyroid stimulating hormone (TSH) in your blood. TSH is produced by the pituitary gland. It prompts the thyroid gland to make and release thyroid hormones into the blood.,Thyrotropin; Thyroid stimulating hormone; Hypothyroidism - TSH; Hyperthyroidism - TSH; Goiter - TSH
TSI test,TSI stands for thyroid stimulating immunoglobulin. TSIs are antibodies that tell the thyroid gland to become more active and release excess amounts of thyroid hormone into the blood. A TSI test measures the amount of thyroid stimulating immunoglobulin in your blood.,TSH receptor stimulating antibody; Thyroid stimulating immunoglobulin; Hypothyroidism - TSI; Hyperthyroidism - TSI; Goiter - TSI; Thyroiditis - TSI
Tubal ligation,"Tubal ligation is surgery to close a woman's fallopian tubes. (It is sometimes called ""tying the tubes."") The fallopian tubes connect the ovaries to the uterus. A woman who has this surgery can no longer get pregnant. This means she is ""sterile.""",Sterilization surgery - female; Tubal sterilization; Tube tying; Tying the tubes; Hysteroscopic tubal occlusion procedure; Contraception - tubal ligation; Family planning - tubal ligation
Tubal ligation - discharge,"Tubal ligation is surgery to close the fallopian tubes. After a successful tubal ligation, a woman cannot get pregnant. This article tells you how to care for yourself after leaving the hospital.",Sterilization surgery - female - discharge; Tubal sterilization - discharge; Tube tying - discharge; Tying the tubes - discharge; Contraception - tubal
Tubal ligation reversal,Tubal ligation reversal is surgery done to allow a woman who has had her tubes tied (tubal ligation) to become pregnant again. The fallopian tubes are reconnected in this reversal surgery. A tubal ligation cannot always be reversed if there is too little tube left or if it is damaged.,Tubal re-anastomosis surgery; Tuboplasty
Tubercle,"A tubercle is a small rounded point of a bone. Less often, it refers to a nodule attached to bone, mucous membrane (moist layer lining parts of the body), or skin.",
Tuberous sclerosis,"Tuberous sclerosis is a genetic disorder that affects the skin, brain/nervous system, kidneys, heart, and lungs. The condition can also cause tumors to grow in the brain. These tumors have a tuber or root-shaped appearance.",Bourneville disease
Tularemia,"Tularemia is a bacterial infection in wild rodents. The bacteria are passed to humans through contact with tissue from the infected animal. The bacteria can also be passed by ticks, biting flies, and mosquitoes.",Deerfly fever; Rabbit fever; Pahvant Valley plague; Ohara disease; Yato-byo (Japan); Lemming fever
Tularemia blood test,Tularemia blood test checks for infection caused by bacteria called Francisella tularensis (F tularensis). The bacteria causes the disease tularemia.,Tularemia test; Serology for Francisella tularensis
Tumor,A tumor is an abnormal growth of body tissue. Tumors can be cancerous (malignant) or noncancerous (benign).,Mass; Neoplasm
Turbinate surgery,The inside walls of the nose have 3 pairs of long thin bones covered with a layer of tissue that can expand. These bones are called nasal turbinates.Allergies or other nasal problems can cause the turbinates to swell and block airflow. Surgery can be done to open blocked airways and improve your breathing.,Turbinectomy; Turbinoplasty; Turbinate reduction; Nasal airway surgery; Nasal obstruction - turbinate surgery
Turner syndrome,Turner syndrome is a rare genetic condition in which a female does not have the usual pair of X chromosomes.,Bonnevie-Ullrich syndrome; Gonadal dysgenesis; Monosomy X; XO
Turning patients over in bed,Changing a patient's position in bed every 2 hours helps keep blood flowing. This helps the skin stay healthy and prevents bedsores.Turning a patient is a good time to check the skin for redness and sores.,Roll patients in bed
Turpentine oil poisoning,"Turpentine oil comes from a substance in pine trees. Turpentine oil poisoning occurs when someone swallows turpentine oil or breathes in the fumes. Breathing these fumes on purpose is sometimes called ""huffing"" or ""bagging."" It is a member of a class of compounds known as hydrocarbons. Exposure to hydrocarbons, both intentional and unintentional, is a common problem resulting in thousands of calls to poison control centers each year.This article is for information only. DO NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call the local emergency number (such as 911), or the local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",
Twin-to-twin transfusion syndrome,Twin-to-twin transfusion syndrome is a rare condition that occurs only in identical twins while they are in the womb.Watch this video about:Twin-to-twin transfusion syndrome,TTTS; Fetal transfusion syndrome
Tympanometry,Tympanometry is a test used to detect problems in the ear drum and middle ear.,Tympanogram; Otitis media - tympanometry; Effusion - tympanometry; Immittance testing
Type 1 diabetes,Type 1 diabetes is a lifelong (chronic) disease in which there is a high level of sugar (glucose) in the blood.,Insulin-dependent diabetes; Juvenile onset diabetes; Diabetes - type 1; High blood sugar - type 1 diabetes
Type 2 diabetes,Type 2 diabetes is a lifelong (chronic) disease in which there is a high level of sugar (glucose) in the blood. Type 2 diabetes is the most common form of diabetes.,Diabetes - type II; Adult-onset diabetes; Diabetic - type 2 diabetes; Oral hypoglycemic - type 2 diabetes; High blood sugar - type 2 diabetes
Type 2 diabetes - self-care,"Type 2 diabetes is a life-long (chronic) disease. If you have type 2 diabetes, the insulin your body normally makes has trouble transmitting a signal to muscle and fat cells. Insulin is a hormone made by the pancreas to control blood sugar. When your body's insulin isn't able to signal correctly, the sugar from food stays in the blood and the sugar (glucose) level can get too high.Most people with type 2 diabetes are overweight when they're diagnosed. The changes in the way the body handles blood sugar that lead to type 2 diabetes usually happen slowly.Everyone with diabetes should receive proper education and support about the best ways to manage their diabetes. Ask your health care provider about seeing a certified diabetes care and education specialist (often called a diabetes educator).",Type 2 diabetes - managing
Type 2 diabetes - what to ask your doctor,"Type 2 diabetes, once diagnosed, is a lifelong disease that causes a high level of sugar (glucose) in your blood. It can damage your organs. It can also lead to a heart attack or stroke and cause many other health problems. You can do many things to control your symptoms, prevent damage due to diabetes, and make your life better.Below are questions you may want to ask your health care provider to help you take care of your diabetes.",What to ask your provider about diabetes - type 2
Type V glycogen storage disease,"Type V (five) glycogen storage disease (GSD V) is a rare inherited condition in which the body is not able to break down glycogen. Glycogen is an important source of energy that is stored in all tissues, especially in the muscles and liver.GSD V is also called McArdle disease.",Myophosphorylase deficiency; Muscle glycogen phosphorylase deficiency; PYGM deficiency
Types of chemotherapy,"Chemotherapy is the use of medicine to treat cancer. Chemotherapy kills cancer cells. It may be used to cure cancer, help keep it from spreading, or reduce symptoms. In some cases, people are treated with a single type of chemotherapy. But often, people get more than one type of chemotherapy at a time. This helps attack the cancer in different ways. Targeted therapy and immunotherapy are other cancer treatments that use medicine to treat cancer.Standard chemotherapy works by killing cancer cells and some normal cells. Targeted treatment and immunotherapy zero in on specific targets (molecules) in or on cancer cells.",
Types of health care providers,"This article describes health care providers involved in primary care, nursing care, and specialty care.",Physicians; Nurses; Health care providers; Doctors; Pharmacists
Types of hormone therapy,"Hormone therapy (HT) uses one or more hormones to treat symptoms of menopause. HT uses estrogen, progestin (a type of progesterone), or both. Sometimes testosterone is also added.",HRT- types; Estrogen replacement therapy - types; ERT- types of hormone therapy; Hormone replacement therapy - types; Menopause - types of hormone therapy; HT - types; Menopausal hormone types
Types of ileostomy,"You had an injury or disease in your digestive system and needed an operation called an ileostomy. The operation changed the way your body gets rid of waste (stool, feces, or poop).Now you have an opening called a stoma in your belly. Waste will pass through the stoma into a pouch that collects it. You will need to take care of the stoma and empty the pouch several times a day.",Ileostomy - types; Standard ileostomy; Brooke ileostomy; Continent ileostomy; Abdominal pouch; End ileostomy; Ostomy; Inflammatory bowel disease - ileostomy and your ileostomy type; Crohn disease - ileostomy and your ileostomy type; Ulcerative colitis - ileostomy and your ileostomy type
Typhoid fever,"Typhoid fever is an infection that causes fever, diarrhea, and a rash. It is most commonly caused by bacteria called Salmonella typhi (S typhi).",Enteric fever
Typhus,Typhus is a bacterial disease spread by lice or fleas.,Murine typhus; Epidemic typhus; Endemic typhus; Brill-Zinsser disease; Jail fever
A1C,"If you are being tested for Type 2 diabetes, your doctor gives you an A1C test. The test is also used to monitor your A1C levels.",Glycohemoglobin; HbA1C; Hemoglobin A1C test
Abdominal Pain,Stomach aches can be painful. Find out what might be the cause of your abdominal pain. ,Bellyache
Abortion,An abortion is a medical procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. ,Induced Abortion
Abscess,Abscesses are filled with pus and can occur anywhere on your body. They can be painful. Learn about types of abscesses and how they are treated. ,
Acne,Looking for ways to fight unsightly zits? Both teens and adults can get acne. Learn what causes pimples and blackheads and how to manage them.,Pimples; Zits
Acoustic Neuroma,An acoustic neuroma is a benign tumor that grows on the cranial nerve that connects the ear to the brain. It can affect hearing and balance nerves.,Acoustic neurilemmoma; Acoustic neurinoma; Auditory tumor; Vestibular schwannoma
Acupuncture,Are you considering acupuncture to treat pain? Find out about how this type of traditional Chinese medicine might help you. ,
